Date,Value
2017-12-31,106.614
2016-12-31,79.924
2015-12-31,80.624
2014-12-31,58.497
2013-12-31,52.737
2012-12-31,51.68
2011-12-31,49.857
2010-12-31,38.547
2009-12-31,38.648
2008-12-31,40.574
2007-12-31,39.713
2006-12-31,30.71
2005-12-31,27.229
2004-12-31,25.509
2003-12-31,18.713
2002-12-31,15.786
2001-12-31,10.509
2000-12-31,9.513
1999-12-31,5.528
1998-12-31,4.489
1997-12-31,2.966
1996-12-31,2.032
1995-12-31,1.5
1994-12-31,0.909
1993-12-31,0.6
1992-12-31,0.275
1991-12-31,0.1
1990-12-31,0.071
1989-12-31,0.026
1988-12-31,0.008
1987-12-31,0.002
1986-12-31,0.001
1985-12-31,0.0
1984-12-31,0.0
1983-12-31,0.0
1982-12-31,0.0
1981-12-31,0.0
1980-12-31,0.0
1979-12-31,0.0
1978-12-31,0.0
1977-12-31,0.0
1976-12-31,0.0
1975-12-31,0.0
1974-12-31,0.0
1973-12-31,0.0
1972-12-31,0.0
1971-12-31,0.0
1970-12-31,0.0
1969-12-31,0.0
1968-12-31,0.0
1967-12-31,0.0
1966-12-31,0.0
1965-12-31,0.0
